eigenvalue,multiplicity,estimated rational
[3.000001],1,3
[2.],5,2
[1.5615528],3,[1.56155]
[3.9895076e-07],4,0
[-1.0000004],4,-1
[-2.0000007],3,-2
[-2.5615525],3,[-2.56155]
