x,y,value
0,120,1
0,264,1
0,414,1
0,566,1
0,719,1
1,121,1
1,265,1
1,415,1
1,686,1
1,599,1
2,122,1
2,266,1
2,534,1
2,446,1
2,695,1
3,123,1
3,267,1
3,535,1
3,710,1
3,479,1
4,124,1
4,268,1
4,654,1
4,470,1
4,575,1
5,125,1
5,269,1
5,655,1
5,590,1
5,455,1
6,126,1
6,384,1
6,294,1
6,542,1
6,713,1
7,127,1
7,385,1
7,295,1
7,662,1
7,593,1
8,128,1
8,386,1
8,558,1
8,326,1
8,671,1
9,129,1
9,387,1
9,559,1
9,716,1
9,359,1
10,130,1
10,388,1
10,678,1
10,350,1
10,551,1
11,131,1
11,389,1
11,679,1
11,596,1
11,335,1
12,132,1
12,504,1
12,318,1
12,422,1
12,689,1
13,133,1
13,505,1
13,319,1
13,668,1
13,473,1
14,134,1
14,506,1
14,438,1
14,302,1
14,665,1
15,135,1
15,507,1
15,439,1
15,692,1
15,353,1
16,136,1
16,508,1
16,702,1
16,356,1
16,431,1
17,137,1
17,509,1
17,703,1
17,476,1
17,311,1
18,138,1
18,624,1
18,342,1
18,428,1
18,569,1
19,139,1
19,625,1
19,343,1
19,548,1
19,449,1
20,140,1
20,626,1
20,462,1
20,308,1
20,545,1
21,141,1
21,627,1
21,463,1
21,572,1
21,329,1
22,142,1
22,628,1
22,582,1
22,332,1
22,425,1
23,143,1
23,629,1
23,583,1
23,452,1
23,305,1
24,240,1
24,144,1
24,390,1
24,560,1
24,717,1
25,241,1
25,145,1
25,391,1
25,680,1
25,597,1
26,242,1
26,146,1
26,510,1
26,440,1
26,693,1
27,243,1
27,147,1
27,511,1
27,704,1
27,477,1
28,244,1
28,148,1
28,630,1
28,464,1
28,573,1
29,245,1
29,149,1
29,631,1
29,584,1
29,453,1
30,246,1
30,408,1
30,174,1
30,518,1
30,707,1
31,247,1
31,409,1
31,175,1
31,638,1
31,587,1
32,248,1
32,410,1
32,564,1
32,206,1
32,647,1
33,249,1
33,411,1
33,565,1
33,718,1
33,239,1
34,250,1
34,412,1
34,684,1
34,230,1
34,527,1
35,251,1
35,413,1
35,685,1
35,598,1
35,215,1
36,252,1
36,528,1
36,198,1
36,398,1
36,683,1
37,253,1
37,529,1
37,199,1
37,644,1
37,467,1
38,254,1
38,530,1
38,444,1
38,182,1
38,641,1
39,255,1
39,531,1
39,445,1
39,694,1
39,233,1
40,256,1
40,532,1
40,708,1
40,236,1
40,407,1
41,257,1
41,533,1
41,709,1
41,478,1
41,191,1
42,258,1
42,648,1
42,222,1
42,404,1
42,563,1
43,259,1
43,649,1
43,223,1
43,524,1
43,443,1
44,260,1
44,650,1
44,468,1
44,188,1
44,521,1
45,261,1
45,651,1
45,469,1
45,574,1
45,209,1
46,262,1
46,652,1
46,588,1
46,212,1
46,401,1
47,263,1
47,653,1
47,589,1
47,454,1
47,185,1
48,360,1
48,168,1
48,270,1
48,536,1
48,711,1
49,361,1
49,169,1
49,271,1
49,656,1
49,591,1
50,362,1
50,170,1
50,516,1
50,320,1
50,669,1
51,363,1
51,171,1
51,517,1
51,706,1
51,357,1
52,364,1
52,172,1
52,636,1
52,344,1
52,549,1
53,365,1
53,173,1
53,637,1
53,586,1
53,333,1
54,366,1
54,288,1
54,150,1
54,512,1
54,705,1
55,367,1
55,289,1
55,151,1
55,632,1
55,585,1
56,368,1
56,290,1
56,540,1
56,200,1
56,645,1
57,369,1
57,291,1
57,541,1
57,712,1
57,237,1
58,370,1
58,292,1
58,660,1
58,224,1
58,525,1
59,371,1
59,293,1
59,661,1
59,592,1
59,213,1
60,372,1
60,552,1
60,204,1
60,278,1
60,659,1
61,373,1
61,553,1
61,205,1
61,646,1
61,347,1
62,374,1
62,554,1
62,324,1
62,158,1
62,635,1
63,375,1
63,555,1
63,325,1
63,670,1
63,227,1
64,376,1
64,556,1
64,714,1
64,238,1
64,287,1
65,377,1
65,557,1
65,715,1
65,358,1
65,167,1
66,378,1
66,672,1
66,228,1
66,284,1
66,539,1
67,379,1
67,673,1
67,229,1
67,526,1
67,323,1
68,380,1
68,674,1
68,348,1
68,164,1
68,515,1
69,381,1
69,675,1
69,349,1
69,550,1
69,203,1
70,382,1
70,676,1
70,594,1
70,214,1
70,281,1
71,383,1
71,677,1
71,595,1
71,334,1
71,161,1
72,480,1
72,192,1
72,276,1
72,416,1
72,687,1
73,481,1
73,193,1
73,277,1
73,658,1
73,471,1
74,482,1
74,194,1
74,396,1
74,296,1
74,663,1
75,483,1
75,195,1
75,397,1
75,682,1
75,351,1
76,484,1
76,196,1
76,642,1
76,346,1
76,429,1
77,485,1
77,197,1
77,643,1
77,466,1
77,309,1
78,486,1
78,312,1
78,156,1
78,392,1
78,681,1
79,487,1
79,313,1
79,157,1
79,634,1
79,465,1
80,488,1
80,314,1
80,420,1
80,176,1
80,639,1
81,489,1
81,315,1
81,421,1
81,688,1
81,231,1
82,490,1
82,316,1
82,666,1
82,226,1
82,405,1
83,491,1
83,317,1
83,667,1
83,472,1
83,189,1
84,492,1
84,432,1
84,180,1
84,272,1
84,657,1
85,493,1
85,433,1
85,181,1
85,640,1
85,345,1
86,494,1
86,434,1
86,300,1
86,152,1
86,633,1
87,495,1
87,435,1
87,301,1
87,664,1
87,225,1
88,496,1
88,436,1
88,690,1
88,232,1
88,285,1
89,497,1
89,437,1
89,691,1
89,352,1
89,165,1
90,498,1
90,696,1
90,234,1
90,286,1
90,419,1
91,499,1
91,697,1
91,235,1
91,406,1
91,299,1
92,500,1
92,698,1
92,354,1
92,166,1
92,395,1
93,501,1
93,699,1
93,355,1
93,430,1
93,179,1
94,502,1
94,700,1
94,474,1
94,190,1
94,275,1
95,503,1
95,701,1
95,475,1
95,310,1
95,155,1
96,600,1
96,216,1
96,282,1
96,418,1
96,567,1
97,601,1
97,217,1
97,283,1
97,538,1
97,447,1
98,602,1
98,218,1
98,402,1
98,298,1
98,543,1
99,603,1
99,219,1
99,403,1
99,562,1
99,327,1
100,604,1
100,220,1
100,522,1
100,322,1
100,423,1
101,605,1
101,221,1
101,523,1
101,442,1
101,303,1
102,606,1
102,336,1
102,162,1
102,394,1
102,561,1
103,607,1
103,337,1
103,163,1
103,514,1
103,441,1
104,608,1
104,338,1
104,426,1
104,178,1
104,519,1
105,609,1
105,339,1
105,427,1
105,568,1
105,207,1
106,610,1
106,340,1
106,546,1
106,202,1
106,399,1
107,611,1
107,341,1
107,547,1
107,448,1
107,183,1
108,612,1
108,456,1
108,186,1
108,274,1
108,537,1
109,613,1
109,457,1
109,187,1
109,520,1
109,321,1
110,614,1
110,458,1
110,306,1
110,154,1
110,513,1
111,615,1
111,459,1
111,307,1
111,544,1
111,201,1
112,616,1
112,460,1
112,570,1
112,208,1
112,279,1
113,617,1
113,461,1
113,571,1
113,328,1
113,159,1
114,618,1
114,576,1
114,210,1
114,280,1
114,417,1
115,619,1
115,577,1
115,211,1
115,400,1
115,297,1
116,620,1
116,578,1
116,330,1
116,160,1
116,393,1
117,621,1
117,579,1
117,331,1
117,424,1
117,177,1
118,622,1
118,580,1
118,450,1
118,184,1
118,273,1
119,623,1
119,581,1
119,451,1
119,304,1
119,153,1
120,0,1
120,240,1
120,408,1
120,564,1
120,718,1
121,1,1
121,241,1
121,409,1
121,684,1
121,598,1
122,2,1
122,242,1
122,528,1
122,444,1
122,694,1
123,3,1
123,243,1
123,529,1
123,708,1
123,478,1
124,4,1
124,244,1
124,648,1
124,468,1
124,574,1
125,5,1
125,245,1
