eigenvalue,multiplicity,estimated rational
[2.9999998],1,3
[2.3429232],6,[2.34292]
[1.9999999],5,2
[1.561553],3,[1.56155]
[0.73205066],2,[0.73205]
[0.4706831],6,[0.47068]
[4.748424e-07],4,0
[-1.],6,-1
[-1.8136065],6,[-1.81361]
[-1.9999998],3,-2
[-2.5615525],3,[-2.56155]
[-2.732051],2,[-2.73205]
