eigenvalue,multiplicity,estimated rational
[4.0000005],1,4
[3.0000017],9,3
[2.4892888],5,[2.48929]
[2.4494884],6,[2.44949]
[1.9999999],14,2
[1.8951068],4,[1.89511]
[1.0000006],6,1
[0.2891677],5,[0.28917]
[1.2765742e-07],20,0
[-1.],13,-1
[-1.6027055],4,[-1.60271]
[-2.],11,-2
[-2.4494898],6,[-2.44949]
[-2.778456],5,[-2.77846]
[-3.0000014],6,-3
[-3.292402],4,[-3.2924]
