x,y,value
77,2633,1
78,798,1
78,3726,1
78,2664,1
78,1758,1
78,3182,1
78,4865,1
79,799,1
79,3727,1
79,2665,1
79,1759,1
79,4628,1
79,3545,1
80,800,1
80,3728,1
80,2666,1
80,3318,1
80,1862,1
80,4649,1
81,801,1
81,3729,1
81,2667,1
81,3319,1
81,4892,1
81,2129,1
82,802,1
82,3730,1
82,2668,1
82,4782,1
82,2108,1
82,3233,1
83,803,1
83,3731,1
83,2669,1
83,4783,1
83,3572,1
83,1913,1
84,804,1
84,3732,1
84,3384,1
84,1878,1
84,2462,1
84,4745,1
85,805,1
85,3733,1
85,3385,1
85,1879,1
85,4652,1
85,2825,1
86,806,1
86,3734,1
86,3386,1
86,2598,1
86,1742,1
86,4625,1
87,807,1
87,3735,1
87,3387,1
87,2599,1
87,4772,1
87,2105,1
88,808,1
88,3736,1
88,3388,1
88,4902,1
88,2132,1
88,2513,1
89,809,1
89,3737,1
89,3389,1
89,4903,1
89,2852,1
89,1793,1
90,810,1
90,3738,1
90,4944,1
90,2142,1
90,2516,1
90,3311,1
91,811,1
91,3739,1
91,4945,1
91,2143,1
91,3236,1
91,2591,1
92,812,1
92,3740,1
92,4946,1
92,2862,1
92,1796,1
92,3191,1
93,813,1
93,3741,1
93,4947,1
93,2863,1
93,3356,1
93,1871,1
94,814,1
94,3742,1
94,4948,1
94,3582,1
94,1916,1
94,2471,1
95,815,1
95,3743,1
95,4949,1
95,3583,1
95,2636,1
95,1751,1
96,816,1
96,4440,1
96,2064,1
96,2502,1
96,3308,1
96,4169,1
97,817,1
97,4441,1
97,2065,1
97,2503,1
97,4028,1
97,3449,1
98,818,1
98,4442,1
98,2066,1
98,3222,1
98,2588,1
98,4049,1
99,819,1
99,4443,1
99,2067,1
99,3223,1
99,4148,1
99,2729,1
100,820,1
100,4444,1
100,2068,1
100,3942,1
100,2708,1
100,3329,1
101,821,1
101,4445,1
101,2069,1
101,3943,1
101,3428,1
101,2609,1
102,822,1
102,4446,1
102,2784,1
102,1782,1
102,3188,1
102,4145,1
103,823,1
103,4447,1
103,2785,1
103,1783,1
103,3908,1
103,3425,1
104,824,1
104,4448,1
104,2786,1
104,3342,1
104,1868,1
104,3929,1
105,825,1
105,4449,1
105,2787,1
105,3343,1
105,4172,1
105,2009,1
106,826,1
106,4450,1
106,2788,1
106,4062,1
106,1988,1
106,3209,1
107,827,1
107,4451,1
107,2789,1
107,4063,1
107,3452,1
107,1889,1
108,828,1
108,4452,1
108,3504,1
108,1902,1
108,2468,1
108,4025,1
109,829,1
109,4453,1
109,3505,1
109,1903,1
109,3932,1
109,2705,1
110,830,1
110,4454,1
110,3506,1
110,2622,1
110,1748,1
110,3905,1
111,831,1
111,4455,1
111,3507,1
111,2623,1
111,4052,1
111,1985,1
112,832,1
112,4456,1
112,3508,1
112,4182,1
112,2012,1
112,2489,1
113,833,1
113,4457,1
113,3509,1
113,4183,1
113,2732,1
113,1769,1
114,834,1
114,4458,1
114,4224,1
114,2022,1
114,2492,1
114,3305,1
115,835,1
115,4459,1
115,4225,1
115,2023,1
115,3212,1
115,2585,1
116,836,1
116,4460,1
116,4226,1
116,2742,1
116,1772,1
116,3185,1
117,837,1
117,4461,1
117,4227,1
117,2743,1
117,3332,1
117,1865,1
118,838,1
118,4462,1
118,4228,1
118,3462,1
118,1892,1
118,2465,1
119,839,1
119,4463,1
119,4229,1
119,3463,1
119,2612,1
119,1745,1
120,1440,1
120,840,1
120,2304,1
120,3270,1
120,4160,1
120,5037,1
121,1441,1
121,841,1
121,2305,1
121,3271,1
121,4880,1
121,4317,1
122,1442,1
122,842,1
122,2306,1
122,3990,1
122,3440,1
122,4917,1
123,1443,1
123,843,1
123,2307,1
123,3991,1
123,5000,1
123,3597,1
124,1444,1
124,844,1
124,2308,1
124,4710,1
124,3560,1
124,4197,1
125,1445,1
125,845,1
125,2309,1
125,4711,1
125,4280,1
125,3477,1
126,1446,1
126,846,1
126,3024,1
126,2550,1
126,4040,1
126,5013,1
127,1447,1
127,847,1
127,3025,1
127,2551,1
127,4760,1
127,4293,1
128,1448,1
