eigenvalue,multiplicity,estimated rational
[4.999996],1,5
[3.9999995],14,4
[3.4121375],16,[3.41214]
[3.3641682],10,[3.36417]
[3.0000002],49,3
[2.776733],10,[2.77673]
[2.681332],5,[2.68133]
[2.675191],9,[2.67519]
[2.598347],16,[2.59835]
[2.5968406],10,[2.59684]
[2.5615532],10,[2.56155]
[2.4421341],5,[2.44213]
[2.2695146],10,[2.26951]
[2.2428062],16,[2.24281]
[2.2176807],9,[2.21768]
[2.136144],16,[2.13614]
[1.9999996],9,2
[1.3234042],10,311/235
[1.0839436],9,[1.08394]
[1.000001],19,1
[0.88083494],16,[0.88083]
[0.6965729],10,[0.69657]
[0.6420723],5,[0.64207]
[0.6293006],16,[0.6293]
[0.35505936],10,[0.35506]
[0.33267453],9,1/3
[0.2860656],16,[0.28607]
[0.21772805],5,253/1162
[0.13063964],10,[0.13064]
[0.02851105],16,[0.02851]
[2.6155487e-07],32,0
[-0.27256596],10,[-0.27257]
[-0.55841315],16,[-0.55841]
[-1.],60,-1
[-1.5464817],9,[-1.54648]
[-1.5615537],10,[-1.56155]
[-1.642073],10,[-1.64207]
[-1.7444998],9,[-1.7445]
[-1.8601879],10,[-1.86019]
[-1.9875702],16,[-1.98757]
[-2.000001],15,-2
[-2.1329618],5,[-2.13296]
[-2.3234038],5,[-2.3234]
[-2.3913908],16,[-2.39139]
[-2.4342837],10,[-2.43428]
[-2.7991977],9,[-2.7992]
[-2.8957968],16,[-2.8958]
[-2.9316742],10,[-2.93167]
[-3.0619862],16,[-3.06199]
[-3.2159507],9,[-3.21595]
[-3.271603],10,[-3.2716]
[-3.31899],16,[-3.31899]
[-3.4192173],10,[-3.41922]
[-3.526902],5,[-3.5269]
[-3.6813297],10,[-3.68133]
[-4.003356],9,-4
