eigenvalue,multiplicity,estimated rational
[4.0000014],1,4
[2.9999995],5,3
[2.5615525],3,[2.56155]
[1.],5,1
[1.1920929e-07],3,0
[-1.0000006],3,-1
[-1.5615524],3,[-1.56155]
