eigenvalue,multiplicity,estimated rational
[4.9999967],1,5
[4.000001],9,4
[3.4892898],5,[3.48929]
[3.4494905],6,[3.44949]
[3.],14,3
[2.8951068],4,[2.89511]
[2.0000002],6,2
[1.2891686],5,[1.28917]
[0.9999998],21,1
[2.3841858e-07],12,0
[-0.6027045],4,[-0.6027]
[-1.0000001],11,-1
[-1.4494909],6,[-1.44949]
[-1.7784573],5,[-1.77846]
[-2.0000014],6,-2
[-2.2924008],4,[-2.2924]
