eigenvalue,multiplicity,estimated rational
[4.000001],1,4
[3.3429222],6,[3.34292]
[2.9999995],5,3
[2.5615535],3,[2.56155]
[1.7320508],2,[1.73205]
[1.4706836],6,[1.47068]
[1.0000004],5,1
[-4.7683716e-07],5,0
[-0.8136059],6,[-0.81361]
[-0.9999994],3,-1
[-1.5615529],3,[-1.56155]
[-1.7320513],2,[-1.73205]
