eigenvalue,multiplicity,estimated rational
[6.0000024],1,6
[4.999999],14,5
[4.41214],16,[4.41214]
[4.364171],10,[4.36417]
[4.],49,4
[3.7767324],10,[3.77673]
[3.681332],5,[3.68133]
[3.6751928],9,[3.67519]
[3.5983448],16,[3.59834]
[3.59684],10,[3.59684]
[3.5615525],10,[3.56155]
[3.4421377],5,[3.44214]
[3.2695155],10,[3.26952]
[3.2428074],16,[3.24281]
[3.2176805],9,[3.21768]
[3.136145],16,[3.13614]
[2.9999995],9,3
[2.3234043],10,546/235
[2.0839436],9,[2.08394]
[1.9999992],19,2
[1.8808348],16,[1.88083]
[1.6965737],10,[1.69657]
[1.6420748],5,[1.64207]
[1.6293013],16,[1.6293]
[1.3550582],10,[1.35506]
[1.3326747],9,4/3
[1.2860646],16,[1.28606]
[1.2177298],5,[1.21773]
[1.1306388],10,[1.13064]
[1.0285115],16,[1.02851]
[0.9999997],33,1
[0.72743595],10,[0.72744]
[0.44158673],16,[0.44159]
[4.7683716e-07],59,0
[-0.54648256],9,[-0.54648]
[-0.56155205],10,[-0.56155]
[-0.64207196],10,[-0.64207]
[-0.7444993],9,[-0.7445]
[-0.86018896],10,[-0.86019]
[-0.9875692],16,[-0.98757]
[-1.0000011],15,-1
[-1.1329597],5,[-1.13296]
[-1.3234047],5,[-1.3234]
[-1.3913919],16,[-1.39139]
[-1.4342862],10,[-1.43429]
[-1.7991983],9,[-1.7992]
[-1.8957983],16,[-1.8958]
[-1.9316717],10,[-1.93167]
[-2.061986],16,[-2.06199]
[-2.2159529],9,[-2.21595]
[-2.2716017],10,[-2.2716]
[-2.3189898],16,[-2.31899]
[-2.4192176],10,[-2.41922]
[-2.526905],5,[-2.5269]
[-2.6813316],10,[-2.68133]
[-3.0033584],9,-3
