x,y,value
0,0,1
0,24,1
0,54,1
0,86,1
0,119,1
1,1,1
1,25,1
1,55,1
1,110,1
1,95,1
2,2,1
2,26,1
2,78,1
2,62,1
2,113,1
3,3,1
3,27,1
3,79,1
3,116,1
3,71,1
4,4,1
4,28,1
4,102,1
4,68,1
4,89,1
5,5,1
5,29,1
5,103,1
5,92,1
5,65,1
6,6,1
6,48,1
6,30,1
6,80,1
6,117,1
7,7,1
7,49,1
7,31,1
7,104,1
7,93,1
8,8,1
8,50,1
8,84,1
8,38,1
8,107,1
9,9,1
9,51,1
9,85,1
9,118,1
9,47,1
10,10,1
10,52,1
10,108,1
10,44,1
10,83,1
11,11,1
11,53,1
11,109,1
11,94,1
11,41,1
12,12,1
12,72,1
12,36,1
12,56,1
12,111,1
13,13,1
13,73,1
13,37,1
13,106,1
13,69,1
14,14,1
14,74,1
14,60,1
14,32,1
14,105,1
15,15,1
15,75,1
15,61,1
15,112,1
15,45,1
16,16,1
16,76,1
16,114,1
16,46,1
16,59,1
17,17,1
17,77,1
17,115,1
17,70,1
17,35,1
18,18,1
18,96,1
18,42,1
18,58,1
18,87,1
19,19,1
19,97,1
19,43,1
19,82,1
19,63,1
20,20,1
20,98,1
20,66,1
20,34,1
20,81,1
21,21,1
21,99,1
21,67,1
21,88,1
21,39,1
22,22,1
22,100,1
22,90,1
22,40,1
22,57,1
23,23,1
23,101,1
23,91,1
23,64,1
23,33,1
24,24,1
24,0,1
24,48,1
24,84,1
24,118,1
25,25,1
25,1,1
25,49,1
25,108,1
25,94,1
26,26,1
26,2,1
26,72,1
26,60,1
26,112,1
27,27,1
27,3,1
27,73,1
27,114,1
27,70,1
28,28,1
28,4,1
28,96,1
28,66,1
28,88,1
29,29,1
29,5,1
29,97,1
29,90,1
29,64,1
30,30,1
30,54,1
30,6,1
30,74,1
30,115,1
31,31,1
31,55,1
31,7,1
31,98,1
31,91,1
32,32,1
32,56,1
32,86,1
32,14,1
32,101,1
33,33,1
33,57,1
33,87,1
33,119,1
33,23,1
34,34,1
34,58,1
34,110,1
34,20,1
34,77,1
35,35,1
35,59,1
35,111,1
35,95,1
35,17,1
36,36,1
36,78,1
36,12,1
36,50,1
36,109,1
37,37,1
37,79,1
37,13,1
37,100,1
37,67,1
38,38,1
38,80,1
38,62,1
38,8,1
38,99,1
39,39,1
39,81,1
39,63,1
39,113,1
39,21,1
40,40,1
40,82,1
40,116,1
40,22,1
40,53,1
41,41,1
41,83,1
41,117,1
41,71,1
41,11,1
42,42,1
42,102,1
42,18,1
42,52,1
42,85,1
43,43,1
43,103,1
43,19,1
43,76,1
43,61,1
44,44,1
44,104,1
44,68,1
44,10,1
44,75,1
45,45,1
45,105,1
45,69,1
45,89,1
45,15,1
46,46,1
46,106,1
46,92,1
46,16,1
46,51,1
47,47,1
47,107,1
47,93,1
47,65,1
47,9,1
48,48,1
48,6,1
48,24,1
48,78,1
48,116,1
49,49,1
49,7,1
49,25,1
49,102,1
49,92,1
50,50,1
50,8,1
50,74,1
50,36,1
50,106,1
51,51,1
51,9,1
51,75,1
51,115,1
51,46,1
52,52,1
52,10,1
52,98,1
52,42,1
52,82,1
53,53,1
53,11,1
53,99,1
53,91,1
53,40,1
54,54,1
54,30,1
54,0,1
54,72,1
54,114,1
55,55,1
55,31,1
55,1,1
55,96,1
55,90,1
56,56,1
56,32,1
56,80,1
56,12,1
56,100,1
57,57,1
57,33,1
57,81,1
57,117,1
57,22,1
58,58,1
58,34,1
58,104,1
58,18,1
58,76,1
59,59,1
59,35,1
59,105,1
59,93,1
59,16,1
60,60,1
60,84,1
60,14,1
60,26,1
60,103,1
61,61,1
61,85,1
61,15,1
61,101,1
61,43,1
62,62,1
62,86,1
62,38,1
62,2,1
62,97,1
63,63,1
63,87,1
63,39,1
63,107,1
63,19,1
64,64,1
64,88,1
64,118,1
64,23,1
64,29,1
65,65,1
65,89,1
65,119,1
65,47,1
65,5,1
66,66,1
66,108,1
66,20,1
66,28,1
66,79,1
67,67,1
67,109,1
67,21,1
67,77,1
67,37,1
68,68,1
68,110,1
68,44,1
68,4,1
68,73,1
69,69,1
69,111,1
69,45,1
69,83,1
69,13,1
70,70,1
70,112,1
70,94,1
70,17,1
70,27,1
71,71,1
71,113,1
71,95,1
71,41,1
71,3,1
72,72,1
72,12,1
72,26,1
72,54,1
72,110,1
73,73,1
73,13,1
73,27,1
73,103,1
73,68,1
74,74,1
74,14,1
74,50,1
74,30,1
74,104,1
75,75,1
75,15,1
75,51,1
75,109,1
75,44,1
76,76,1
76,16,1
76,100,1
76,43,1
76,58,1
77,77,1
77,17,1
77,101,1
77,67,1
77,34,1
78,78,1
78,36,1
78,2,1
78,48,1
78,108,1
79,79,1
79,37,1
79,3,1
79,97,1
79,66,1
80,80,1
80,38,1
80,56,1
80,6,1
80,98,1
81,81,1
81,39,1
81,57,1
81,111,1
81,20,1
82,82,1
82,40,1
82,106,1
82,19,1
82,52,1
83,83,1
83,41,1
83,107,1
83,69,1
83,10,1
84,84,1
84,60,1
84,8,1
84,24,1
84,102,1
85,85,1
85,61,1
85,9,1
85,99,1
85,42,1
86,86,1
86,62,1
86,32,1
86,0,1
