eigenvalue,multiplicity,estimated rational
[15.999996],1,16
[10.83991],4,[10.83991]
[9.],15,9
[7.719823],5,[7.71982]
[6.196558],5,[6.19656]
[6.000001],12,6
[4.],25,4
[3.5914283],4,[3.59143]
[2.5686624],4,[2.56866]
[1.0000007],19,1
[0.08361769],5,[0.08362]
[-4.7683716e-07],20,0
