x,y,value
0,0,4
0,30,1
0,32,1
0,33,1
0,48,1
0,62,1
0,65,1
0,72,1
0,84,1
0,95,1
0,96,1
0,114,1
0,118,1
1,1,4
1,31,1
1,34,1
1,35,1
1,49,1
1,68,1
1,71,1
1,72,1
1,90,1
1,94,1
1,96,1
1,108,1
1,119,1
2,2,4
2,36,1
2,38,1
2,39,1
2,48,1
2,60,1
2,71,1
2,72,1
2,86,1
2,89,1
2,97,1
2,108,1
2,112,1
3,3,4
3,37,1
3,40,1
3,41,1
3,48,1
3,66,1
3,70,1
3,73,1
3,92,1
3,95,1
3,97,1
3,113,1
3,114,1
4,4,4
4,42,1
4,44,1
4,45,1
4,49,1
4,65,1
4,66,1
4,73,1
4,84,1
4,88,1
4,96,1
4,110,1
4,113,1
5,5,4
5,43,1
5,46,1
5,47,1
5,49,1
5,60,1
5,64,1
5,73,1
5,89,1
5,90,1
5,97,1
5,116,1
5,119,1
6,6,4
6,24,1
6,38,1
6,41,1
6,54,1
6,56,1
6,57,1
6,74,1
6,78,1
6,93,1
6,98,1
6,115,1
6,116,1
7,7,4
7,25,1
7,44,1
7,47,1
7,55,1
7,58,1
7,59,1
7,74,1
7,91,1
7,92,1
7,98,1
7,102,1
7,117,1
8,8,4
8,24,1
8,36,1
8,47,1
8,60,1
8,62,1
8,63,1
8,74,1
8,80,1
8,83,1
8,99,1
8,102,1
8,106,1
9,9,4
9,24,1
9,42,1
9,46,1
9,61,1
9,64,1
9,65,1
9,75,1
9,93,1
9,94,1
9,99,1
9,107,1
9,115,1
10,10,4
10,25,1
10,41,1
10,42,1
10,66,1
10,68,1
10,69,1
10,75,1
10,78,1
10,82,1
10,98,1
10,104,1
10,107,1
11,11,4
11,25,1
11,36,1
11,40,1
11,67,1
11,70,1
11,71,1
11,75,1
11,83,1
11,91,1
11,99,1
11,117,1
11,118,1
12,12,4
12,26,1
12,32,1
12,35,1
12,50,1
12,54,1
12,69,1
12,78,1
12,80,1
12,81,1
12,100,1
12,109,1
12,110,1
13,13,4
13,27,1
13,45,1
13,46,1
13,50,1
13,67,1
13,68,1
13,79,1
13,82,1
13,83,1
13,100,1
13,103,1
13,111,1
14,14,4
14,26,1
14,30,1
14,45,1
14,50,1
14,56,1
14,59,1
14,84,1
14,86,1
14,87,1
14,101,1
14,103,1
14,104,1
15,15,4
15,26,1
15,43,1
15,44,1
15,51,1
15,69,1
15,70,1
15,85,1
15,88,1
15,89,1
15,101,1
15,105,1
15,109,1
16,16,4
16,27,1
16,35,1
16,43,1
16,51,1
16,54,1
16,58,1
16,90,1
16,92,1
16,93,1
16,100,1
16,105,1
16,106,1
17,17,4
17,27,1
17,30,1
17,34,1
17,51,1
17,59,1
17,67,1
17,91,1
17,94,1
17,95,1
17,101,1
17,111,1
17,112,1
18,18,4
18,28,1
18,33,1
18,34,1
18,52,1
18,55,1
18,63,1
18,76,1
18,85,1
18,86,1
18,102,1
18,104,1
18,105,1
19,19,4
19,29,1
19,39,1
19,40,1
19,52,1
19,61,1
19,62,1
19,76,1
19,79,1
19,87,1
19,103,1
19,106,1
19,107,1
20,20,4
20,28,1
20,31,1
20,39,1
20,52,1
20,57,1
20,58,1
20,77,1
20,79,1
20,80,1
20,108,1
20,110,1
20,111,1
