x,y,value
0,0,3
0,8,1
0,9,1
0,12,1
0,17,1
0,18,1
0,22,1
1,1,3
1,10,1
1,11,1
1,12,1
1,16,1
1,18,1
1,23,1
2,2,3
2,6,1
2,11,1
2,14,1
2,15,1
2,19,1
2,20,1
3,3,3
3,6,1
3,10,1
3,16,1
3,17,1
3,19,1
3,21,1
4,4,3
4,7,1
4,9,1
4,13,1
4,14,1
4,20,1
4,21,1
5,5,3
5,7,1
5,8,1
5,13,1
5,15,1
5,22,1
5,23,1
6,2,1
6,3,1
6,6,3
6,14,1
6,16,1
6,20,1
6,23,1
7,4,1
7,5,1
7,7,3
7,14,1
7,17,1
7,20,1
7,22,1
8,0,1
8,5,1
8,8,3
8,12,1
8,13,1
8,18,1
8,21,1
9,0,1
9,4,1
9,9,3
9,16,1
9,17,1
9,19,1
9,21,1
10,1,1
10,3,1
10,10,3
10,12,1
10,15,1
10,18,1
10,19,1
11,1,1
11,2,1
11,11,3
11,13,1
11,15,1
11,22,1
11,23,1
12,0,1
12,1,1
12,8,1
12,10,1
12,12,3
12,21,1
12,22,1
13,4,1
13,5,1
13,8,1
13,11,1
13,13,3
13,20,1
13,22,1
14,2,1
14,4,1
14,6,1
14,7,1
14,14,3
14,19,1
14,23,1
15,2,1
15,5,1
15,10,1
15,11,1
15,15,3
15,18,1
15,23,1
16,1,1
16,3,1
16,6,1
16,9,1
16,16,3
16,18,1
16,19,1
17,0,1
17,3,1
17,7,1
17,9,1
17,17,3
17,20,1
17,21,1
18,0,1
18,1,1
18,8,1
18,10,1
18,15,1
18,16,1
18,18,3
19,2,1
19,3,1
19,9,1
19,10,1
19,14,1
19,16,1
19,19,3
20,2,1
20,4,1
20,6,1
20,7,1
20,13,1
20,17,1
20,20,3
21,3,1
21,4,1
21,8,1
21,9,1
21,12,1
21,17,1
21,21,3
22,0,1
22,5,1
22,7,1
22,11,1
22,12,1
22,13,1
22,22,3
23,1,1
23,5,1
23,6,1
23,11,1
23,14,1
23,15,1
23,23,3
